page,type,incoming,avg
Wittlich,2,1629,64.4705882352941176
Dippoldiswalde,2,1620,71.1788617886178862
Kamen,6,1619,87.6548672566371681
Duderstadt,2,1616,46.0000000000000000
Papenburg,2,1616,49.4776119402985075
Ahrensburg,4,1613,75.8400000000000000
Pfullendorf,2,1607,66.8037383177570093
Bremervörde,2,1606,42.5000000000000000
Königs Wusterhausen,2,1605,65.8804347826086957
Selb,2,1605,38.3846153846153846
Dillingen/Saar,2,1595,212.4131736526946108
Daun,2,1589,53.3711340206185567
Grünstadt,2,1589,70.4419642857142857
Petershagen,6,1587,49.3076923076923077
Rotenburg (Wümme),2,1586,44.7894736842105263
Haldensleben,2,1585,61.0000000000000000
Forst (Lausitz),2,1584,108.3333333333333333
Wurzen,2,1581,63.1315789473684211
Ettlingen,2,1578,295.1237458193979933
Hennef (Sieg),6,1578,64.2531017369727047
Frechen,6,1576,102.8909465020576132
Schwelm,6,1573,83.9977401129943503
Dormagen,6,1569,136.6337448559670782
Groß-Gerau,2,1566,190.0421052631578947
Schönebeck (Elbe),3,1563,30.2709359605911330
Bad Langensalza,2,1555,35.7066666666666667
Ingelheim am Rhein,2,1553,83.2476190476190476
Homberg (Efze),2,1547,86.8507462686567164
Rietberg,6,1546,64.7589285714285714
Troisdorf,6,1541,279.0254629629629630
Horn-Bad Meinberg,6,1539,124.8819444444444444
Miesbach,2,1536,95.0246913580246914
Birkenfeld (Nahe),5,1534,51.1948051948051948
Porta Westfalica (Stadt),6,1531,133.4017341040462428
Pasewalk,2,1528,31.6025641025641026
Lutherstadt Eisleben,2,1523,70.6136363636363636
Bad Segeberg,2,1522,31.4347826086956522
Hachenburg,5,1521,48.9572649572649573
Rheinberg,6,1519,85.6381578947368421
Lennestadt,6,1518,78.1194029850746269
Münchberg,2,1515,54.4705882352941176
Vlotho,6,1507,65.9411764705882353
Burgdorf (Region Hannover),2,1506,74.2542372881355932
Bretten,2,1505,72.3645833333333333
Waiblingen,2,1504,153.6073619631901840
Wadern,2,1503,45.5131578947368421
Diez,2,1499,93.9704433497536946
Lehrte,2,1498,57.0200000000000000
Tirschenreuth,2,1495,70.2394366197183099
Bad Doberan,2,1488,56.3134328358208955
Eberbach,2,1487,48.6363636363636364
Horb am Neckar,2,1486,48.5394736842105263
Usingen,2,1478,47.4545454545454545
Eisenberg (Thüringen),2,1477,37.3587786259541985
Goch,6,1467,48.5882352941176471
Bad Harzburg,2,1458,96.4390243902439024
Glauchau,2,1456,90.5882352941176471
Pegnitz (Stadt),2,1452,42.7272727272727273
Lauterbach (Hessen),2,1447,77.2878787878787879
Bad Pyrmont,2,1444,47.8309859154929577
Langenhagen,3,1443,187.0755395683453237
Weilheim in Oberbayern,2,1442,76.8684210526315789
Laubach,2,1441,793.3207547169811321
Haan,6,1440,82.7496087636932707
Uslar,2,1440,75.0724637681159420
Künzelsau,2,1436,68.5684210526315789
Alsdorf,6,1433,96.7734375000000000
Neustadt am Rübenberge,2,1433,62.2318840579710145
Schramberg,2,1428,51.4324324324324324
Hammelburg,2,1422,39.5483870967741935
Plettenberg,6,1418,56.1986301369863014
Mittweida,2,1416,92.6304347826086957
Rüdesheim am Rhein,2,1415,100.0000000000000000
Kirchheim unter Teck,2,1409,87.3384615384615385
Bad Windsheim,2,1408,49.0327868852459016
Ellwangen (Jagst),2,1396,68.8923076923076923
Grünberg (Hessen),2,1394,710.7851239669421488
Kerpen,6,1394,62.8797250859106529
Münsingen (Württemberg),2,1390,36.3076923076923077
Blieskastel,2,1385,76.8895027624309392
Bernkastel-Kues,5,1383,79.2589285714285714
Leutkirch im Allgäu,2,1383,31.6388888888888889
Schlüchtern,2,1378,43.6078431372549020
Schwetzingen,2,1378,103.7838983050847458
Schleiden,6,1377,59.7132867132867133
Tegernsee (Stadt),2,1365,86.1359223300970874
Bad Arolsen,2,1362,45.4823529411764706
Ennepetal,6,1361,45.6310272536687631
Sömmerda,2,1361,67.0129870129870130
Beckum,6,1357,58.4339622641509434
Bergkamen,6,1357,102.5211267605633803
Walsrode,2,1355,65.0476190476190476
Rheinfelden (Baden),2,1353,63.0268817204301075
Varel,2,1347,39.0000000000000000
Sprockhövel,6,1332,60.9824797843665768
Eisenhüttenstadt,2,1330,94.3571428571428571
Hennigsdorf,2,1327,116.2718446601941748
Sundern (Sauerland),6,1321,91.6695652173913043
Stadthagen,2,1320,72.8611111111111111
Kreuztal,6,1319,66.7245508982035928
Michelstadt,2,1317,71.3000000000000000
Coswig (Sachsen),2,1313,272.7074468085106383
Quakenbrück,2,1311,45.4750000000000000
Datteln,6,1309,58.2677165354330709
Ahaus,6,1307,52.6250000000000000
Blomberg,6,1304,79.5438596491228070
Bad Gandersheim,2,1301,54.3232323232323232
Alzenau,2,1291,60.9843750000000000
Grafenau (Niederbayern),2,1290,76.4629629629629630
Kevelaer,6,1285,96.1500000000000000
Völklingen,2,1283,70.2800000000000000
Bebra,2,1282,58.2987012987012987
Borken (Hessen),2,1277,94.4131736526946108
Herzogenrath,6,1274,76.5017301038062284
Oberursel (Taunus),2,1274,107.7388392857142857
Fellbach,2,1269,308.3495440729483283
Wangen im Allgäu,2,1268,50.9875000000000000
Murnau am Staffelsee,2,1267,62.7916666666666667
Sonthofen,2,1264,71.0952380952380952
Wegberg,6,1263,58.5534246575342466
Finsterwalde,2,1261,62.5161290322580645
Bad Waldsee,2,1257,40.8103448275862069
Langen (Hessen),2,1257,129.5714285714285714
Nagold (Stadt),2,1256,51.5921052631578947
Groß-Umstadt,2,1252,91.1206896551724138
Rheinbach,6,1242,87.5704697986577181
Gladenbach,2,1240,55.2049180327868852
Weil am Rhein,1,1240,184.7861507128309572
Haltern am See,6,1239,45.6714285714285714
Brake (Unterweser),2,1238,95.7750000000000000
Gronau (Westf.),6,1231,30.8518518518518519
Blaubeuren,2,1230,61.5882352941176471
Dingolfing,2,1227,71.6097560975609756
Bad Vilbel,2,1225,227.0281973816717019
Geseke,6,1222,54.2236842105263158
Meinerzhagen,6,1220,32.6401869158878505
Seligenstadt,2,1219,76.7074468085106383
Munster (Örtze),2,1218,46.1578947368421053
Albstadt,2,1215,75.9213483146067416
Markkleeberg,2,1212,332.8616144975288303
Bornheim (Rheinland),6,1209,293.3714285714285714
Norderstedt,4,1208,90.5533333333333333
Lohr am Main,2,1206,54.6333333333333333
Werne,6,1201,100.6250000000000000
Mechernich,6,1200,50.3063583815028902
Bad Säckingen,2,1198,66.7109375000000000
Bedburg,6,1198,74.7252252252252252
Mölln,2,1198,88.0112359550561798
Lorsch,2,1197,128.1920529801324503
Emmendingen,2,1196,98.6956521739130435
Lüdinghausen,6,1196,69.7818181818181818
Alfeld (Leine),2,1195,48.1919191919191919
Laupheim,2,1195,63.0579710144927536
Müllheim (Baden),2,1187,67.0659340659340659
Bad Aibling,2,1186,123.4255319148936170
Kronberg im Taunus,2,1186,118.1307506053268765
Krumbach (Schwaben),2,1185,42.1532258064516129
Hofgeismar,2,1182,59.0405405405405405
Neustadt an der Aisch,2,1179,42.3636363636363636
Vaihingen an der Enz,2,1177,100.8529411764705882
Linz am Rhein,2,1176,82.6642066420664207
Brakel,6,1172,75.4666666666666667
Hagenow,2,1169,63.3333333333333333
Wiesloch,2,1168,85.3832335329341317
Bad Ems,2,1167,224.0987341772151899
Schopfheim,2,1165,49.1376811594202899
Pulheim,6,1161,85.2712765957446809
Bad Saulgau,2,1159,77.4307692307692308
Buchen (Odenwald),2,1155,59.0000000000000000
Herdecke,6,1150,75.3689320388349515
Werdau,2,1145,110.4285714285714286
Eggenfelden,2,1144,73.4166666666666667
Riedlingen,2,1142,51.2054794520547945
Hersbruck,2,1138,49.0645161290322581
Hungen,2,1137,117.5681818181818182
Wunsiedel,3,1135,39.0935251798561151
Crimmitschau,2,1134,77.2527472527472527
Geisenheim,2,1133,101.5424528301886792
Löhne,6,1132,105.9009900990099010
Reichenbach im Vogtland,2,1127,117.1851851851851852
Bad Oldesloe,2,1123,46.5882352941176471
Gerolstein,2,1122,79.6031746031746032
Geislingen an der Steige,2,1117,44.4939759036144578
Ludwigsfelde,2,1115,102.7536231884057971
Lauf an der Pegnitz,2,1113,54.4939024390243902
Kirn,5,1112,50.8695652173913043
Konz,5,1101,228.5836431226765799
Pfaffenhofen an der Ilm,2,1101,52.5172413793103448
Stollberg/Erzgeb.,2,1093,73.9220779220779221
Barsinghausen,2,1088,66.1086956521739130
Baunatal,2,1085,220.7564469914040115
Marktredwitz,3,1083,39.5000000000000000
Geesthacht,4,1081,67.2916666666666667
Hünfeld,2,1081,35.2063492063492063
Bad Driburg,6,1080,73.5952380952380952
Brunsbüttel,2,1076,42.3428571428571429
Schrobenhausen,2,1075,45.9729729729729730
Freyung,2,1074,68.3773584905660377
Osterholz-Scharmbeck,2,1064,70.2261904761904762
Kaarst,6,1063,84.2207792207792208
Leichlingen (Rheinland),6,1058,123.0952380952380952
Stockach,2,1058,54.2280701754385965
Bad Lobenstein,2,1057,68.1132075471698113
Wedel,4,1047,94.2713178294573643
Kirchhain,2,1044,59.3771929824561404
Achim (Landkreis Verden),2,1041,48.9764705882352941
Abensberg,2,1030,76.6885245901639344
Dreieich,2,1030,109.1207547169811321
Schwalmstadt,2,1022,66.9504950495049505
Neustadt bei Coburg,2,1019,66.0730337078651685
Freilassing,2,1014,219.3196125907990315
Bad Neuenahr-Ahrweiler,5,1011,81.9683257918552036
Wolfratshausen,2,1008,55.1882352941176471
Haiger,2,998,114.0847457627118644
Sankt Augustin,6,991,222.8690012970168612
Melsungen,2,987,65.7211538461538462
Seesen,2,987,45.5466666666666667
Hofheim am Taunus,2,985,115.1181102362204724
Waren (Müritz),2,983,35.4035087719298246
Kyritz,2,979,71.4482758620689655
Gernsbach,2,978,142.2440944881889764
Schifferstadt,5,978,190.4074074074074074
Greven,6,973,57.4200000000000000
Bramsche,2,972,78.8571428571428571
Betzdorf,5,971,69.3289473684210526
Bad Zwischenahn,2,968,64.1016949152542373
Bergen auf Rügen,2,967,162.7530864197530864
Schmölln,2,964,54.8080808080808081
Adenau,5,961,169.0960000000000000
Monheim am Rhein,6,961,136.5000000000000000
Waldkirch,2,961,127.9454545454545455
Mühlacker,2,960,81.2592592592592593
Landstuhl,5,959,82.6811594202898551
Steinheim (Westfalen),6,956,85.7938931297709924
Bad Soden am Taunus,2,949,105.7307692307692308
Ribnitz-Damgarten,2,949,61.8611111111111111
Kirchheimbolanden,5,948,59.6693548387096774
Domažlice,2,947,31.4772727272727273
Dahn,2,943,58.5135135135135135
Wermelskirchen,6,943,68.0645645645645646
Moosburg an der Isar,2,942,52.0540540540540541
Neunkirchen (Siegerland),6,942,113.3690476190476190
Gevelsberg,6,939,51.1372549019607843
Breisach am Rhein,2,938,42.3780487804878049
Nordenham,2,931,278.6357142857142857
Achern,2,928,79.3030303030303030
Neu-Isenburg,2,927,239.9893955461293743
Friedrichsdorf,2,925,78.4541666666666667
Oelde,6,925,56.0491803278688525
Eltville am Rhein,2,923,164.5437500000000000
Selm,6,922,75.7310924369747899
Wasserburg am Inn,2,920,77.6250000000000000
Teterow,2,919,37.6578947368421053
Weißwasser/Oberlausitz,2,919,91.8679245283018868
Pfarrkirchen,2,917,95.7142857142857143
Zerbst/Anhalt,2,916,25.5357142857142857
Lauscha,2,912,72.4017094017094017
Willich,6,912,88.8198198198198198
Lahnstein,5,904,213.4143518518518519
Bad Belzig,2,902,133.4375000000000000
Rheda-Wiedenbrück,6,894,92.6208791208791209
Delbrück,6,888,79.2976190476190476
Karlstadt,2,887,72.5245901639344262
Lebach,2,879,246.9139784946236559
Herzberg (Elster),2,878,67.1914893617021277
Zossen,2,878,94.3454545454545455
Laatzen,2,873,188.4603365384615385
Marktoberdorf,2,873,78.7708333333333333
Erkrath,6,870,218.0389294403892944
Grevesmühlen,2,870,57.0000000000000000
Wetter (Ruhr),6,869,75.9190839694656489
Titisee-Neustadt,2,865,103.5090909090909091
Auerbach/Vogtl.,2,863,85.1290322580645161
Ueckermünde,2,862,176.0000000000000000
Grimmen,2,861,31.8666666666666667
Rodgau,2,861,112.8382352941176471
Lohne (Oldenburg),2,856,108.2962962962962963
Sinzig,5,856,80.6113537117903930
Meisenheim,5,852,99.5794392523364486
Wörth am Rhein,5,851,124.1888888888888889
Gaggenau,2,848,141.3211678832116788
Kornwestheim,2,842,345.0500000000000000
Lengerich (Westfalen),6,841,92.9090909090909091
Rotenburg an der Fulda,2,841,56.4512195121951220
Marktheidenfeld,2,840,50.7327586206896552
Eschborn,2,839,216.4542910447761194
Lampertheim,2,837,270.8000000000000000
Westerburg,5,837,68.9927536231884058
Pößneck,2,835,37.5081967213114754
Bad Bergzabern,2,834,80.8653846153846154
Niesky,2,833,99.6304347826086957
Wesseling,6,831,119.9365558912386707
Lauterecken,5,830,68.1574074074074074
Hückelhoven,6,828,78.7482517482517483
Falkensee,2,827,227.2034883720930233
Waldsassen,2,817,33.8715596330275229
Bad Wildbad,2,814,40.5400000000000000
Annweiler am Trifels,5,813,61.9166666666666667
Edenkoben,5,811,113.9175257731958763
Kamp-Lintfort,6,811,151.3523809523809524
Radolfzell am Bodensee,2,810,73.7857142857142857
Vilsbiburg,2,809,80.0333333333333333
Westerstede,2,807,59.3620689655172414
Battenberg (Eder),2,806,44.7611940298507463
Wunstorf,2,806,71.6947368421052632
Penzberg,2,802,65.8205128205128205
Ochsenfurt,2,800,86.3263157894736842
Traben-Trarbach,5,799,82.2641509433962264
Waldbröl,6,792,28.1319018404907975
Emsdetten,6,791,105.9714285714285714
Bad Freienwalde (Oder),2,788,52.8987341772151899
Georgsmarienhütte,2,788,181.3131868131868132
Bad Wörishofen,2,781,48.1478873239436620
Immenstadt im Allgäu,2,776,86.4342105263157895
Bad Schwalbach,2,775,66.0000000000000000
Schkeuditz,2,774,57.7049180327868852
Witzenhausen,2,773,49.9747899159663866
Wülfrath,6,771,75.2453653217011996
Nettetal,6,768,78.5000000000000000
Sontra,2,762,50.0126582278481013
Garbsen,2,760,63.5325443786982249
Hohenstein-Ernstthal,2,756,92.8809523809523810
Grafing bei München,2,750,68.0340909090909091
Plattling,1,749,149.5245901639344262
Hessisch Lichtenau,2,748,61.5810810810810811
Lübbenau/Spreewald,2,745,123.8450704225352113
Viechtach,2,733,52.6744186046511628
Oelsnitz/Vogtl.,2,723,145.5625000000000000
Wolfach,2,723,80.8714285714285714
Espelkamp,6,720,93.2343750000000000
Burglengenfeld,2,719,52.9600000000000000
Staufen im Breisgau,2,719,79.9886363636363636
Heiligenhaus,6,717,76.3202614379084967
Bendorf,5,716,201.8368298368298368
Besigheim,2,715,108.2166666666666667
Buchholz in der Nordheide,2,713,67.8307692307692308
Wildeshausen,2,710,22.4019607843137255
Simbach am Inn,2,706,154.8653846153846154
Hermeskeil,2,704,49.4558823529411765
Sulingen,2,703,87.5555555555555556
Stadtroda,2,702,46.4525139664804469
Würselen,6,699,187.0594405594405594
Beverungen,6,698,88.1807228915662651
Kastellaun,5,694,148.5057471264367816
Stadtallendorf,2,694,68.3780487804878049
Oschersleben (Bode),2,690,51.1774193548387097
Herzogenaurach,2,686,191.0320000000000000
Griesheim,2,685,156.8194842406876791
Bad Blankenburg,3,684,102.5222222222222222
Öhringen,2,682,85.8165137614678899
Bad Brückenau,2,678,39.9000000000000000
Bad Orb,2,676,65.6900000000000000
Haßfurt,2,673,91.7384615384615385
Furth im Wald,2,668,48.9473684210526316
Eisenberg (Pfalz),5,665,67.5976331360946746
Gerolzhofen,2,663,52.8468468468468468
Trostberg,2,663,82.7333333333333333
Lauingen (Donau),2,662,85.0468750000000000
Metzingen,2,660,119.6527777777777778
Werdohl,6,660,75.5238095238095238
Viernheim,2,659,82.8392857142857143
Friesoythe,2,655,25.2727272727272727
Kandel (Pfalz),5,655,111.6935483870967742
Naila,2,655,73.4090909090909091
Dierdorf,5,654,58.1139240506329114
Gößnitz (Thüringen),2,652,58.1927710843373494
Illertissen,2,651,63.5540540540540541
Barntrup,6,649,64.6190476190476190
Heusenstamm,2,648,116.0532915360501567
Seelow,2,647,63.4102564102564103
Wolfhagen,2,645,46.3804347826086957
Wittingen,2,640,37.3181818181818182
Lößnitz (Erzgebirge),2,639,119.9935483870967742
Kirchen (Sieg),5,633,62.1337209302325581
Baumholder,5,625,39.2236842105263158
Vreden,6,622,46.9629629629629630
Bad Nenndorf,2,615,60.2621359223300971
Neuhaus am Rennweg,2,610,66.1052631578947368
Walldorf (Baden),2,609,112.8012820512820513
Waltrop,6,606,79.5467980295566502
Stadtlohn,6,600,85.9393939393939394
Vilshofen an der Donau,2,599,62.2131147540983607
Erkner,2,597,106.0204081632653061
Vallendar,5,597,214.0328638497652582
Sarstedt,2,596,75.3138686131386861
Limbach-Oberfrohna,2,595,89.5312500000000000
Winsen (Luhe),2,592,116.4193548387096774
Hochheim am Main,2,590,288.8505050505050505
Kirchberg (Hunsrück),5,585,818.4122807017543860
Bad Schlema,2,584,133.2714285714285714
Bad Neustadt an der Saale,2,582,61.4285714285714286
Landau an der Isar,2,577,281.0370370370370370
Dietzenbach,2,573,118.3706896551724138
Schwabmünchen,2,570,40.2166666666666667
Hermsdorf (Thüringen),2,567,55.6028368794326241
Kaltenkirchen,2,566,36.1363636363636364
Flörsheim am Main,2,562,384.6012658227848101
Parsberg,2,562,43.0697674418604651
Pocking,2,561,71.2244897959183673
Überlingen,2,559,63.5038167938931298
Oer-Erkenschwick,6,558,112.2797202797202797
Stuhr,2,556,257.1023622047244094
Bad Sobernheim,5,549,107.9890109890109890
Zwiesel,2,548,89.0142857142857143
Mainburg,2,545,82.1200000000000000
Rastede,2,544,27.2040816326530612
Gmund am Tegernsee,2,541,103.2934782608695652
Maintal,2,536,139.9121140142517815
Haslach im Kinzigtal,2,535,76.0400000000000000
Ochtrup,6,535,53.8846153846153846
Neukirchen-Vluyn,6,532,128.5271317829457364
Hamminkeln,6,531,150.8777777777777778
Sankt Goar,5,531,68.3928571428571429
Pfungstadt,2,528,143.1764705882352941
Rockenhausen,5,526,61.7857142857142857
Rottach-Egern,2,522,92.7904761904761905
Wissen (Stadt),5,522,60.2562500000000000
Obernburg am Main,2,520,66.2051282051282051
Bad Wiessee,2,519,90.7608695652173913
Kelkheim (Taunus),2,518,110.3036303630363036
Bad Kötzting,2,512,53.8478260869565217
Zell (Mosel),5,509,64.8953488372093023
Peiting,2,507,113.5000000000000000
Traunreut,2,507,86.0128205128205128
Baesweiler,6,503,76.8645418326693227
Nierstein,5,489,70.5865384615384615
Schwalmtal (Niederrhein),6,483,68.9369747899159664
Leinefelde-Worbis,2,478,115.1134020618556701
Neuötting,2,478,107.5844155844155844
Seevetal,2,475,128.4175824175824176
Geretsried,2,473,46.5984251968503937
Neuerburg,5,472,64.7922077922077922
Germering,2,463,82.9191489361702128
Haßloch,5,458,134.3740458015267176
Zella-Mehlis,3,458,127.8495575221238938
Bitterfeld-Wolfen,3,457,89.4558823529411765
Taunusstein,2,456,201.9713114754098361
Tönisvorst,6,455,164.5789473684210526
Heringen (Werra),2,450,61.2328767123287671
Voerde (Niederrhein),6,448,146.5209580838323353
Herxheim bei Landau/Pfalz,5,447,132.1734693877551020
Bad Krozingen,2,443,68.3877551020408163
Niederkassel,6,433,109.2451612903225806
Bürstadt,2,431,173.2777777777777778
Wächtersbach,2,426,110.7075471698113208
Leipheim,2,419,73.1979166666666667
Nieder-Olm,5,418,260.5833333333333333
Höhr-Grenzhausen,5,414,139.6615969581749049
Mühlheim am Main,2,411,136.8298755186721992
Lichtenstein/Sa.,2,407,106.1309523809523810
Hemmoor,2,403,49.0217391304347826
Hausham,2,399,116.0531914893617021
Lindenberg im Allgäu,2,398,95.3392857142857143
Falkenstein/Vogtl.,2,389,70.5370370370370370
Nastätten,5,389,39.5714285714285714
Vellmar,2,389,229.2908496732026144
Zeven,2,389,47.4375000000000000
Sankt Goarshausen,5,387,69.3274336283185841
Neustadt an der Donau,2,385,74.5000000000000000
Oldenburg (Oldb),1,367,43.0526315789473684
Hausach,2,364,87.9062500000000000
Mörfelden-Walldorf,2,358,120.6842105263157895
Ramstein-Miesenbach,5,358,91.4831460674157303
Höchstadt an der Aisch,2,357,49.4042553191489362
Rödermark,2,343,145.3555555555555556
Bad Soden-Salmünster,2,341,64.6990291262135922
Maxhütte-Haidhof,2,327,58.3818181818181818
Rodewisch,2,319,90.0000000000000000
Laichingen,2,311,36.7317073170731707
Neutraubling,2,310,155.7947019867549669
Ruhstorf an der Rott,2,306,126.7200000000000000
Weiterstadt,2,297,156.3711048158640227
Erlenbach am Main,2,288,77.4339622641509434
Allendorf (Eder),2,274,84.8351648351648352
Bruchköbel,2,269,146.7467811158798283
Obertshausen,2,267,159.4307692307692308
Artern/Unstrut,2,266,58.2424242424242424
Hattersheim am Main,2,260,129.1547169811320755
Waldkraiburg,2,260,172.2800000000000000
Schwalbach am Taunus,2,254,118.9392789373814042
Neuenhagen bei Berlin,2,237,123.8535031847133758
Zeulenroda-Triebes,2,233,47.2336448598130841
Wirges,5,229,111.6306306306306306
Teublitz,2,218,56.7906976744186047
Elsenfeld,2,217,64.1981981981981982
Großburgwedel,2,213,60.4634146341463415
Bad Klosterlausnitz,2,169,62.5185185185185185
Lauter (Lauter-Bernsbach),2,140,112.3369565217391304
Oberlungwitz,2,135,104.1578947368421053
Dernbach (Pfalz),5,123,61.7076023391812865
Übach-Palenberg,6,81,72.9432314410480349
Ellefeld,2,75,86.4687500000000000
Wahlstedt,2,63,84.6949152542372881
Saalfeld (Mühlhausen),3,46,93.2795698924731183
