page,type,incoming,avg_within_10k,linking_places_within_10k,incoming_within_10k
Herten,6,1663,157.9743589743589744,278,500
Bad Salzungen,2,1659,69.4655172413793103,175,717
Dülmen,6,1650,40.2916666666666667,48,455
Wittmund,2,1641,77.8518518518518519,108,574
Engelskirchen,6,1640,40.1285046728971963,429,1129
Bühl (Baden),2,1638,88.5750000000000000,83,354
Buxtehude,2,1635,88.2592592592592593,82,333
Wittlich,2,1629,64.4705882352941176,69,459
Dippoldiswalde,2,1620,71.1788617886178862,123,643
Kamen,6,1619,87.6548672566371681,229,488
Duderstadt,2,1616,46.0000000000000000,87,580
Papenburg,2,1616,49.4776119402985075,67,391
Ahrensburg,4,1613,75.8400000000000000,125,383
Pfullendorf,2,1607,66.8037383177570093,107,586
Bremervörde,2,1606,42.5000000000000000,50,577
Königs Wusterhausen,2,1605,65.8804347826086957,92,613
Selb,2,1605,38.3846153846153846,105,393
Dillingen/Saar,2,1595,212.4131736526946108,169,932
Daun,2,1589,53.3711340206185567,97,584
Grünstadt,2,1589,70.4419642857142857,225,484
Petershagen,6,1587,49.3076923076923077,117,624
Rotenburg (Wümme),2,1586,44.7894736842105263,38,340
Haldensleben,2,1585,61.0000000000000000,82,468
Forst (Lausitz),2,1584,108.3333333333333333,24,107
Wurzen,2,1581,63.1315789473684211,38,245
Hennef (Sieg),6,1578,64.2531017369727047,405,936
Ettlingen,2,1578,295.1237458193979933,302,377
Frechen,6,1576,102.8909465020576132,494,550
Schwelm,6,1573,83.9977401129943503,888,611
Dormagen,6,1569,136.6337448559670782,245,610
Groß-Gerau,2,1566,190.0421052631578947,96,479
Schönebeck (Elbe),3,1563,30.2709359605911330,208,432
Bad Langensalza,2,1555,35.7066666666666667,75,356
Ingelheim am Rhein,2,1553,83.2476190476190476,212,483
Homberg (Efze),2,1547,86.8507462686567164,135,420
Rietberg,6,1546,64.7589285714285714,113,659
Troisdorf,6,1541,279.0254629629629630,436,469
Horn-Bad Meinberg,6,1539,124.8819444444444444,290,663
Miesbach,2,1536,95.0246913580246914,84,223
Birkenfeld (Nahe),5,1534,51.1948051948051948,77,257
Porta Westfalica (Stadt),6,1531,133.4017341040462428,349,918
Pasewalk,2,1528,31.6025641025641026,78,554
Lutherstadt Eisleben,2,1523,70.6136363636363636,91,294
Bad Segeberg,2,1522,31.4347826086956522,69,304
Hachenburg,5,1521,48.9572649572649573,117,530
Rheinberg,6,1519,85.6381578947368421,153,553
Lennestadt,6,1518,78.1194029850746269,201,909
Münchberg,2,1515,54.4705882352941176,106,536
Vlotho,6,1507,65.9411764705882353,221,805
Burgdorf (Region Hannover),2,1506,74.2542372881355932,59,569
Bretten,2,1505,72.3645833333333333,97,329
Waiblingen,2,1504,153.6073619631901840,335,424
Wadern,2,1503,45.5131578947368421,78,646
Diez,2,1499,93.9704433497536946,206,667
Lehrte,2,1498,57.0200000000000000,101,476
Tirschenreuth,2,1495,70.2394366197183099,74,480
Bad Doberan,2,1488,56.3134328358208955,67,514
Eberbach,2,1487,48.6363636363636364,100,423
Horb am Neckar,2,1486,48.5394736842105263,78,351
Usingen,2,1478,47.4545454545454545,183,560
Eisenberg (Thüringen),2,1477,37.3587786259541985,134,432
Goch,6,1467,48.5882352941176471,69,583
Bad Harzburg,2,1458,96.4390243902439024,170,434
Glauchau,2,1456,90.5882352941176471,68,245
Pegnitz (Stadt),2,1452,42.7272727272727273,77,300
Lauterbach (Hessen),2,1447,77.2878787878787879,73,524
Bad Pyrmont,2,1444,47.8309859154929577,72,198
Langenhagen,3,1443,187.0755395683453237,844,446
Weilheim in Oberbayern,2,1442,76.8684210526315789,76,175
Laubach,2,1441,793.3207547169811321,107,488
Uslar,2,1440,75.0724637681159420,70,682
Haan,6,1440,82.7496087636932707,643,629
Künzelsau,2,1436,68.5684210526315789,95,532
Neustadt am Rübenberge,2,1433,62.2318840579710145,70,432
Alsdorf,6,1433,96.7734375000000000,258,632
Schramberg,2,1428,51.4324324324324324,77,392
Hammelburg,2,1422,39.5483870967741935,93,589
Plettenberg,6,1418,56.1986301369863014,147,417
Mittweida,2,1416,92.6304347826086957,46,413
Rüdesheim am Rhein,2,1415,100.0000000000000000,200,342
Kirchheim unter Teck,2,1409,87.3384615384615385,132,284
Bad Windsheim,2,1408,49.0327868852459016,61,242
Ellwangen (Jagst),2,1396,68.8923076923076923,66,372
Grünberg (Hessen),2,1394,710.7851239669421488,122,624
Kerpen,6,1394,62.8797250859106529,299,619
Münsingen (Württemberg),2,1390,36.3076923076923077,66,375
Blieskastel,2,1385,76.8895027624309392,183,625
Leutkirch im Allgäu,2,1383,31.6388888888888889,76,282
Bernkastel-Kues,5,1383,79.2589285714285714,116,337
Schwetzingen,2,1378,103.7838983050847458,270,421
Schlüchtern,2,1378,43.6078431372549020,103,692
Schleiden,6,1377,59.7132867132867133,144,474
Tegernsee (Stadt),2,1365,86.1359223300970874,106,498
Bad Arolsen,2,1362,45.4823529411764706,86,327
Sömmerda,2,1361,67.0129870129870130,80,345
Ennepetal,6,1361,45.6310272536687631,480,705
Bergkamen,6,1357,102.5211267605633803,216,542
Beckum,6,1357,58.4339622641509434,53,343
Walsrode,2,1355,65.0476190476190476,64,527
Rheinfelden (Baden),2,1353,63.0268817204301075,187,511
Varel,2,1347,39.0000000000000000,57,432
Sprockhövel,6,1332,60.9824797843665768,743,821
Eisenhüttenstadt,2,1330,94.3571428571428571,28,148
Hennigsdorf,2,1327,116.2718446601941748,209,257
Sundern (Sauerland),6,1321,91.6695652173913043,230,463
Stadthagen,2,1320,72.8611111111111111,72,449
Kreuztal,6,1319,66.7245508982035928,167,496
Michelstadt,2,1317,71.3000000000000000,112,503
Coswig (Sachsen),2,1313,272.7074468085106383,1152,456
Quakenbrück,2,1311,45.4750000000000000,40,229
Datteln,6,1309,58.2677165354330709,129,451
Ahaus,6,1307,52.6250000000000000,40,280
Blomberg,6,1304,79.5438596491228070,115,486
Bad Gandersheim,2,1301,54.3232323232323232,99,360
Alzenau,2,1291,60.9843750000000000,261,789
Grafenau (Niederbayern),2,1290,76.4629629629629630,55,323
Kevelaer,6,1285,96.1500000000000000,61,254
Völklingen,2,1283,70.2800000000000000,179,364
Bebra,2,1282,58.2987012987012987,78,444
Borken (Hessen),2,1277,94.4131736526946108,168,794
Oberursel (Taunus),2,1274,107.7388392857142857,459,393
Herzogenrath,6,1274,76.5017301038062284,291,459
Fellbach,2,1269,308.3495440729483283,676,276
Wangen im Allgäu,2,1268,50.9875000000000000,84,301
Murnau am Staffelsee,2,1267,62.7916666666666667,49,150
Sonthofen,2,1264,71.0952380952380952,112,264
Wegberg,6,1263,58.5534246575342466,368,913
Finsterwalde,2,1261,62.5161290322580645,31,144
Langen (Hessen),2,1257,129.5714285714285714,122,256
Bad Waldsee,2,1257,40.8103448275862069,58,199
Nagold (Stadt),2,1256,51.5921052631578947,76,259
Groß-Umstadt,2,1252,91.1206896551724138,117,610
Rheinbach,6,1242,87.5704697986577181,149,498
Gladenbach,2,1240,55.2049180327868852,123,539
Weil am Rhein,1,1240,184.7861507128309572,499,471
Haltern am See,6,1239,45.6714285714285714,70,333
Brake (Unterweser),2,1238,95.7750000000000000,40,184
Gronau (Westf.),6,1231,30.8518518518518519,27,174
Blaubeuren,2,1230,61.5882352941176471,69,355
Dingolfing,2,1227,71.6097560975609756,43,429
Bad Vilbel,2,1225,227.0281973816717019,1005,372
Geseke,6,1222,54.2236842105263158,77,297
Meinerzhagen,6,1220,32.6401869158878505,214,324
Seligenstadt,2,1219,76.7074468085106383,194,345
Munster (Örtze),2,1218,46.1578947368421053,19,279
Albstadt,2,1215,75.9213483146067416,91,520
Markkleeberg,2,1212,332.8616144975288303,615,459
Bornheim (Rheinland),6,1209,293.3714285714285714,422,576
Norderstedt,4,1208,90.5533333333333333,154,254
Lohr am Main,2,1206,54.6333333333333333,90,424
Werne,6,1201,100.6250000000000000,155,348
Mechernich,6,1200,50.3063583815028902,176,664
Bedburg,6,1198,74.7252252252252252,225,442
Bad Säckingen,2,1198,66.7109375000000000,128,459
Mölln,2,1198,88.0112359550561798,90,273
Lorsch,2,1197,128.1920529801324503,154,437
Emmendingen,2,1196,98.6956521739130435,92,283
Lüdinghausen,6,1196,69.7818181818181818,55,250
Laupheim,2,1195,63.0579710144927536,70,330
Alfeld (Leine),2,1195,48.1919191919191919,100,464
Müllheim (Baden),2,1187,67.0659340659340659,93,402
Kronberg im Taunus,2,1186,118.1307506053268765,417,349
Bad Aibling,2,1186,123.4255319148936170,96,310
Krumbach (Schwaben),2,1185,42.1532258064516129,130,485
Hofgeismar,2,1182,59.0405405405405405,75,485
Neustadt an der Aisch,2,1179,42.3636363636363636,56,201
Vaihingen an der Enz,2,1177,100.8529411764705882,137,357
Linz am Rhein,2,1176,82.6642066420664207,272,443
Brakel,6,1172,75.4666666666666667,75,464
Hagenow,2,1169,63.3333333333333333,30,314
Wiesloch,2,1168,85.3832335329341317,167,538
Bad Ems,2,1167,224.0987341772151899,396,299
Schopfheim,2,1165,49.1376811594202899,138,474
Pulheim,6,1161,85.2712765957446809,193,418
Bad Saulgau,2,1159,77.4307692307692308,65,358
Buchen (Odenwald),2,1155,59.0000000000000000,59,279
Herdecke,6,1150,75.3689320388349515,620,595
Werdau,2,1145,110.4285714285714286,113,235
Eggenfelden,2,1144,73.4166666666666667,51,261
Riedlingen,2,1142,51.2054794520547945,74,274
Hersbruck,2,1138,49.0645161290322581,189,319
Hungen,2,1137,117.5681818181818182,136,472
Wunsiedel,3,1135,39.0935251798561151,143,307
Crimmitschau,2,1134,77.2527472527472527,91,254
Geisenheim,2,1133,101.5424528301886792,215,485
Löhne,6,1132,105.9009900990099010,305,579
Reichenbach im Vogtland,2,1127,117.1851851851851852,83,121
Bad Oldesloe,2,1123,46.5882352941176471,52,184
Gerolstein,2,1122,79.6031746031746032,63,185
Geislingen an der Steige,2,1117,44.4939759036144578,87,210
Ludwigsfelde,2,1115,102.7536231884057971,70,397
Lauf an der Pegnitz,2,1113,54.4939024390243902,165,460
Kirn,5,1112,50.8695652173913043,92,498
Konz,5,1101,228.5836431226765799,274,452
Pfaffenhofen an der Ilm,2,1101,52.5172413793103448,60,318
Stollberg/Erzgeb.,2,1093,73.9220779220779221,77,257
Barsinghausen,2,1088,66.1086956521739130,139,448
Baunatal,2,1085,220.7564469914040115,354,363
Marktredwitz,3,1083,39.5000000000000000,130,257
Geesthacht,4,1081,67.2916666666666667,72,400
Hünfeld,2,1081,35.2063492063492063,63,412
Bad Driburg,6,1080,73.5952380952380952,84,568
Brunsbüttel,2,1076,42.3428571428571429,35,177
Schrobenhausen,2,1075,45.9729729729729730,37,189
Freyung,2,1074,68.3773584905660377,54,307
Osterholz-Scharmbeck,2,1064,70.2261904761904762,84,391
Kaarst,6,1063,84.2207792207792208,391,453
Leichlingen (Rheinland),6,1058,123.0952380952380952,492,881
Stockach,2,1058,54.2280701754385965,57,179
Bad Lobenstein,2,1057,68.1132075471698113,106,206
Wedel,4,1047,94.2713178294573643,130,259
Kirchhain,2,1044,59.3771929824561404,118,464
Achim (Landkreis Verden),2,1041,48.9764705882352941,86,290
Abensberg,2,1030,76.6885245901639344,62,369
Dreieich,2,1030,109.1207547169811321,269,406
Schwalmstadt,2,1022,66.9504950495049505,102,408
Neustadt bei Coburg,2,1019,66.0730337078651685,179,420
Freilassing,2,1014,219.3196125907990315,427,242
Bad Neuenahr-Ahrweiler,5,1011,81.9683257918552036,221,538
Wolfratshausen,2,1008,55.1882352941176471,173,235
Haiger,2,998,114.0847457627118644,119,424
Sankt Augustin,6,991,222.8690012970168612,773,414
Seesen,2,987,45.5466666666666667,75,233
Melsungen,2,987,65.7211538461538462,104,359
Hofheim am Taunus,2,985,115.1181102362204724,254,364
Waren (Müritz),2,983,35.4035087719298246,58,106
Kyritz,2,979,71.4482758620689655,29,189
Schifferstadt,5,978,190.4074074074074074,165,258
Gernsbach,2,978,142.2440944881889764,129,261
Greven,6,973,57.4200000000000000,50,163
Bramsche,2,972,78.8571428571428571,56,265
Betzdorf,5,971,69.3289473684210526,152,311
Bad Zwischenahn,2,968,64.1016949152542373,60,535
Bergen auf Rügen,2,967,162.7530864197530864,81,292
Schmölln,2,964,54.8080808080808081,198,398
Adenau,5,961,169.0960000000000000,127,457
Waldkirch,2,961,127.9454545454545455,56,277
Monheim am Rhein,6,961,136.5000000000000000,356,308
Mühlacker,2,960,81.2592592592592593,82,315
Landstuhl,5,959,82.6811594202898551,71,205
Steinheim (Westfalen),6,956,85.7938931297709924,131,286
Ribnitz-Damgarten,2,949,61.8611111111111111,36,172
Bad Soden am Taunus,2,949,105.7307692307692308,392,309
Kirchheimbolanden,5,948,59.6693548387096774,124,348
Domažlice,2,947,31.4772727272727273,45,304
Wermelskirchen,6,943,68.0645645645645646,675,397
Dahn,2,943,58.5135135135135135,112,416
Neunkirchen (Siegerland),6,942,113.3690476190476190,252,636
Moosburg an der Isar,2,942,52.0540540540540541,75,231
Gevelsberg,6,939,51.1372549019607843,512,305
Breisach am Rhein,2,938,42.3780487804878049,83,303
Nordenham,2,931,278.6357142857142857,141,241
Achern,2,928,79.3030303030303030,68,327
Neu-Isenburg,2,927,239.9893955461293743,953,246
Friedrichsdorf,2,925,78.4541666666666667,249,245
Oelde,6,925,56.0491803278688525,61,268
Eltville am Rhein,2,923,164.5437500000000000,325,291
Selm,6,922,75.7310924369747899,120,357
Wasserburg am Inn,2,920,77.6250000000000000,49,97
Weißwasser/Oberlausitz,2,919,91.8679245283018868,53,130
Teterow,2,919,37.6578947368421053,38,273
Pfarrkirchen,2,917,95.7142857142857143,42,146
Zerbst/Anhalt,2,916,25.5357142857142857,29,115
Lauscha,2,912,72.4017094017094017,117,314
Willich,6,912,88.8198198198198198,336,590
Lahnstein,5,904,213.4143518518518519,433,341
Bad Belzig,2,902,133.4375000000000000,32,247
Rheda-Wiedenbrück,6,894,92.6208791208791209,182,408
Delbrück,6,888,79.2976190476190476,84,401
Karlstadt,2,887,72.5245901639344262,65,333
Lebach,2,879,246.9139784946236559,93,299
Zossen,2,878,94.3454545454545455,55,264
Herzberg (Elster),2,878,67.1914893617021277,48,254
Marktoberdorf,2,873,78.7708333333333333,51,188
Laatzen,2,873,188.4603365384615385,844,418
Grevesmühlen,2,870,57.0000000000000000,62,277
Erkrath,6,870,218.0389294403892944,831,469
Wetter (Ruhr),6,869,75.9190839694656489,657,397
Titisee-Neustadt,2,865,103.5090909090909091,55,254
Auerbach/Vogtl.,2,863,85.1290322580645161,62,93
Ueckermünde,2,862,176.0000000000000000,28,199
Grimmen,2,861,31.8666666666666667,30,175
Rodgau,2,861,112.8382352941176471,141,325
Lohne (Oldenburg),2,856,108.2962962962962963,54,240
Sinzig,5,856,80.6113537117903930,229,274
Meisenheim,5,852,99.5794392523364486,107,208
Wörth am Rhein,5,851,124.1888888888888889,90,256
Gaggenau,2,848,141.3211678832116788,139,198
Kornwestheim,2,842,345.0500000000000000,593,265
Lengerich (Westfalen),6,841,92.9090909090909091,55,180
Rotenburg an der Fulda,2,841,56.4512195121951220,82,266
Marktheidenfeld,2,840,50.7327586206896552,117,369
Eschborn,2,839,216.4542910447761194,1081,315
Westerburg,5,837,68.9927536231884058,138,313
Lampertheim,2,837,270.8000000000000000,158,325
Pößneck,2,835,37.5081967213114754,123,181
Bad Bergzabern,2,834,80.8653846153846154,104,238
Niesky,2,833,99.6304347826086957,46,182
Wesseling,6,831,119.9365558912386707,335,285
Lauterecken,5,830,68.1574074074074074,108,382
Hückelhoven,6,828,78.7482517482517483,287,445
Falkensee,2,827,227.2034883720930233,172,244
Waldsassen,2,817,33.8715596330275229,112,218
Bad Wildbad,2,814,40.5400000000000000,52,164
Annweiler am Trifels,5,813,61.9166666666666667,147,386
Edenkoben,5,811,113.9175257731958763,194,278
Kamp-Lintfort,6,811,151.3523809523809524,105,224
Radolfzell am Bodensee,2,810,73.7857142857142857,112,141
Vilsbiburg,2,809,80.0333333333333333,30,52
Westerstede,2,807,59.3620689655172414,59,385
Wunstorf,2,806,71.6947368421052632,95,276
Battenberg (Eder),2,806,44.7611940298507463,67,229
Penzberg,2,802,65.8205128205128205,79,120
Ochsenfurt,2,800,86.3263157894736842,102,296
Traben-Trarbach,5,799,82.2641509433962264,110,276
Waldbröl,6,792,28.1319018404907975,330,302
Emsdetten,6,791,105.9714285714285714,35,145
Bad Freienwalde (Oder),2,788,52.8987341772151899,79,253
Georgsmarienhütte,2,788,181.3131868131868132,183,277
Bad Wörishofen,2,781,48.1478873239436620,155,266
Immenstadt im Allgäu,2,776,86.4342105263157895,88,206
Bad Schwalbach,2,775,66.0000000000000000,111,291
Schkeuditz,2,774,57.7049180327868852,127,280
Witzenhausen,2,773,49.9747899159663866,119,345
Wülfrath,6,771,75.2453653217011996,918,382
Nettetal,6,768,78.5000000000000000,101,331
Sontra,2,762,50.0126582278481013,79,413
Garbsen,2,760,63.5325443786982249,341,343
Hohenstein-Ernstthal,2,756,92.8809523809523810,84,144
Grafing bei München,2,750,68.0340909090909091,89,357
Plattling,1,749,149.5245901639344262,61,136
Hessisch Lichtenau,2,748,61.5810810810810811,74,321
Lübbenau/Spreewald,2,745,123.8450704225352113,72,243
Viechtach,2,733,52.6744186046511628,43,73
Oelsnitz/Vogtl.,2,723,145.5625000000000000,97,118
Wolfach,2,723,80.8714285714285714,71,265
Espelkamp,6,720,93.2343750000000000,129,422
Burglengenfeld,2,719,52.9600000000000000,50,171
Staufen im Breisgau,2,719,79.9886363636363636,93,157
Heiligenhaus,6,717,76.3202614379084967,308,241
Bendorf,5,716,201.8368298368298368,429,240
Besigheim,2,715,108.2166666666666667,182,233
Buchholz in der Nordheide,2,713,67.8307692307692308,66,196
Wildeshausen,2,710,22.4019607843137255,102,203
Simbach am Inn,2,706,154.8653846153846154,52,65
Hermeskeil,2,704,49.4558823529411765,69,203
Sulingen,2,703,87.5555555555555556,45,208
Stadtroda,2,702,46.4525139664804469,185,218
Würselen,6,699,187.0594405594405594,576,187
Beverungen,6,698,88.1807228915662651,83,291
Stadtallendorf,2,694,68.3780487804878049,86,139
Kastellaun,5,694,148.5057471264367816,87,202
Oschersleben (Bode),2,690,51.1774193548387097,66,263
Herzogenaurach,2,686,191.0320000000000000,138,174
Griesheim,2,685,156.8194842406876791,365,231
Bad Blankenburg,3,684,102.5222222222222222,181,192
Öhringen,2,682,85.8165137614678899,109,173
Bad Brückenau,2,678,39.9000000000000000,90,153
Bad Orb,2,676,65.6900000000000000,100,211
Haßfurt,2,673,91.7384615384615385,65,174
Furth im Wald,2,668,48.9473684210526316,39,132
Eisenberg (Pfalz),5,665,67.5976331360946746,170,213
Gerolzhofen,2,663,52.8468468468468468,113,205
Trostberg,2,663,82.7333333333333333,61,67
Lauingen (Donau),2,662,85.0468750000000000,147,338
Werdohl,6,660,75.5238095238095238,169,202
Metzingen,2,660,119.6527777777777778,147,174
Viernheim,2,659,82.8392857142857143,283,122
Kandel (Pfalz),5,655,111.6935483870967742,62,140
Naila,2,655,73.4090909090909091,132,218
Friesoythe,2,655,25.2727272727272727,33,254
Dierdorf,5,654,58.1139240506329114,80,245
Gößnitz (Thüringen),2,652,58.1927710843373494,166,234
Illertissen,2,651,63.5540540540540541,74,201
Barntrup,6,649,64.6190476190476190,127,204
Heusenstamm,2,648,116.0532915360501567,323,212
Seelow,2,647,63.4102564102564103,40,164
Wolfhagen,2,645,46.3804347826086957,93,288
Wittingen,2,640,37.3181818181818182,44,201
Lößnitz (Erzgebirge),2,639,119.9935483870967742,155,266
Kirchen (Sieg),5,633,62.1337209302325581,173,205
Baumholder,5,625,39.2236842105263158,76,221
Vreden,6,622,46.9629629629629630,28,179
Bad Nenndorf,2,615,60.2621359223300971,104,321
Neuhaus am Rennweg,2,610,66.1052631578947368,133,208
Walldorf (Baden),2,609,112.8012820512820513,188,147
Waltrop,6,606,79.5467980295566502,207,172
Stadtlohn,6,600,85.9393939393939394,33,91
Vilshofen an der Donau,2,599,62.2131147540983607,62,92
Vallendar,5,597,214.0328638497652582,426,155
Erkner,2,597,106.0204081632653061,99,158
Sarstedt,2,596,75.3138686131386861,138,276
Limbach-Oberfrohna,2,595,89.5312500000000000,96,165
Winsen (Luhe),2,592,116.4193548387096774,63,131
Hochheim am Main,2,590,288.8505050505050505,500,217
Kirchberg (Hunsrück),5,585,818.4122807017543860,115,299
Bad Schlema,2,584,133.2714285714285714,140,135
Bad Neustadt an der Saale,2,582,61.4285714285714286,100,177
Landau an der Isar,2,577,281.0370370370370370,28,112
Dietzenbach,2,573,118.3706896551724138,117,168
Schwabmünchen,2,570,40.2166666666666667,61,140
Hermsdorf (Thüringen),2,567,55.6028368794326241,145,202
Kaltenkirchen,2,566,36.1363636363636364,44,141
Flörsheim am Main,2,562,384.6012658227848101,160,180
Parsberg,2,562,43.0697674418604651,43,127
Pocking,2,561,71.2244897959183673,50,55
Überlingen,2,559,63.5038167938931298,132,117
Oer-Erkenschwick,6,558,112.2797202797202797,144,168
Stuhr,2,556,257.1023622047244094,513,192
Bad Sobernheim,5,549,107.9890109890109890,91,177
Zwiesel,2,548,89.0142857142857143,71,100
Mainburg,2,545,82.1200000000000000,26,130
Rastede,2,544,27.2040816326530612,49,179
Gmund am Tegernsee,2,541,103.2934782608695652,94,157
Maintal,2,536,139.9121140142517815,427,187
Haslach im Kinzigtal,2,535,76.0400000000000000,50,83
Ochtrup,6,535,53.8846153846153846,26,84
Neukirchen-Vluyn,6,532,128.5271317829457364,131,151
Hamminkeln,6,531,150.8777777777777778,90,230
Sankt Goar,5,531,68.3928571428571429,113,200
Pfungstadt,2,528,143.1764705882352941,375,146
Rockenhausen,5,526,61.7857142857142857,98,231
Rottach-Egern,2,522,92.7904761904761905,108,116
Wissen (Stadt),5,522,60.2562500000000000,162,146
Obernburg am Main,2,520,66.2051282051282051,117,191
Bad Wiessee,2,519,90.7608695652173913,94,82
Kelkheim (Taunus),2,518,110.3036303630363036,305,254
Bad Kötzting,2,512,53.8478260869565217,46,104
Zell (Mosel),5,509,64.8953488372093023,86,135
Peiting,2,507,113.5000000000000000,64,115
Traunreut,2,507,86.0128205128205128,78,147
Baesweiler,6,503,76.8645418326693227,252,179
Nierstein,5,489,70.5865384615384615,104,172
Schwalmtal (Niederrhein),6,483,68.9369747899159664,239,231
Leinefelde-Worbis,2,478,115.1134020618556701,98,208
Neuötting,2,478,107.5844155844155844,82,68
Seevetal,2,475,128.4175824175824176,91,187
Geretsried,2,473,46.5984251968503937,128,100
Neuerburg,5,472,64.7922077922077922,77,121
Germering,2,463,82.9191489361702128,250,109
Zella-Mehlis,3,458,127.8495575221238938,114,58
Haßloch,5,458,134.3740458015267176,131,74
Bitterfeld-Wolfen,3,457,89.4558823529411765,68,177
Taunusstein,2,456,201.9713114754098361,249,249
Tönisvorst,6,455,164.5789473684210526,212,172
Heringen (Werra),2,450,61.2328767123287671,147,187
Voerde (Niederrhein),6,448,146.5209580838323353,168,216
Herxheim bei Landau/Pfalz,5,447,132.1734693877551020,98,134
Bad Krozingen,2,443,68.3877551020408163,105,184
Niederkassel,6,433,109.2451612903225806,314,164
Bürstadt,2,431,173.2777777777777778,148,166
Wächtersbach,2,426,110.7075471698113208,107,139
Leipheim,2,419,73.1979166666666667,110,145
Nieder-Olm,5,418,260.5833333333333333,132,183
Höhr-Grenzhausen,5,414,139.6615969581749049,263,110
Mühlheim am Main,2,411,136.8298755186721992,490,131
Lichtenstein/Sa.,2,407,106.1309523809523810,84,52
Hemmoor,2,403,49.0217391304347826,46,81
Hausham,2,399,116.0531914893617021,98,87
Lindenberg im Allgäu,2,398,95.3392857142857143,67,62
Nastätten,5,389,39.5714285714285714,98,88
Vellmar,2,389,229.2908496732026144,311,157
Falkenstein/Vogtl.,2,389,70.5370370370370370,54,82
Zeven,2,389,47.4375000000000000,64,110
Sankt Goarshausen,5,387,69.3274336283185841,114,204
Neustadt an der Donau,2,385,74.5000000000000000,84,141
Oldenburg (Oldb),1,367,43.0526315789473684,172,10
Hausach,2,364,87.9062500000000000,64,69
Mörfelden-Walldorf,2,358,120.6842105263157895,116,106
Ramstein-Miesenbach,5,358,91.4831460674157303,92,101
Höchstadt an der Aisch,2,357,49.4042553191489362,47,91
Rödermark,2,343,145.3555555555555556,92,123
Bad Soden-Salmünster,2,341,64.6990291262135922,104,191
Maxhütte-Haidhof,2,327,58.3818181818181818,55,122
Rodewisch,2,319,90.0000000000000000,55,57
Laichingen,2,311,36.7317073170731707,41,68
Neutraubling,2,310,155.7947019867549669,311,99
Ruhstorf an der Rott,2,306,126.7200000000000000,51,57
Weiterstadt,2,297,156.3711048158640227,370,172
Erlenbach am Main,2,288,77.4339622641509434,106,93
Allendorf (Eder),2,274,84.8351648351648352,91,148
Bruchköbel,2,269,146.7467811158798283,236,119
Obertshausen,2,267,159.4307692307692308,330,97
Artern/Unstrut,2,266,58.2424242424242424,66,26
Waldkraiburg,2,260,172.2800000000000000,56,44
Hattersheim am Main,2,260,129.1547169811320755,265,60
Schwalbach am Taunus,2,254,118.9392789373814042,530,110
Neuenhagen bei Berlin,2,237,123.8535031847133758,158,29
Zeulenroda-Triebes,2,233,47.2336448598130841,110,56
Wirges,5,229,111.6306306306306306,111,78
Teublitz,2,218,56.7906976744186047,44,84
Elsenfeld,2,217,64.1981981981981982,111,81
Großburgwedel,2,213,60.4634146341463415,82,52
Bad Klosterlausnitz,2,169,62.5185185185185185,138,81
Oberlungwitz,2,135,104.1578947368421053,95,17
Dernbach (Pfalz),5,123,61.7076023391812865,173,80
Ellefeld,2,75,86.4687500000000000,64,7
Wahlstedt,2,63,84.6949152542372881,59,8
Saalfeld (Mühlhausen),3,46,93.2795698924731183,95,15
